Publication Year,Document Title,Authors,ISSN,Journal Title,Volume,Issue,<2013,2013,2014,2015,2016,2017,subtotal,>2017,total
2015,Chloroplast lipid transfer processes in Chlamydomonas reinhardtii involving a TRIGALACTOSYLDIACYLGLYCEROL 2 (TGD2) orthologue,"Warakanont J., Tsai C.-H., Michel E.J.S., Murphy G.R., Hsueh P.Y., Roston R.L., Sears B.B., Benning C.",9607412,Plant Journal,84,5,0,0,0,0,3,0,3,0,3
2015,Gibberellic acid signaling is required for ambient temperature-mediated induction of flowering in Arabidopsis thaliana,"Galvao V.C., Collani S., Horrer D., Schmid M.",9607412,Plant Journal,84,5,0,0,0,0,8,1,9,0,9
2015,Nuclear-localized AtHSPR links abscisic acid-dependent salt tolerance and antioxidant defense in Arabidopsis,"Yang T., Zhang L., Hao H., Zhang P., Zhu H., Cheng W., Wang Y., Wang X., Wang C.",9607412,Plant Journal,84,6,0,0,0,0,4,1,5,0,5
2015,Structurally divergent lysophosphatidic acid acyltransferases with high selectivity for saturated medium chain fatty acids from Cuphea seeds,"Kim H.J., Silva J.E., Iskandarov U., Andersson M., Cahoon R.E., Mockaitis K., Cahoon E.B.",9607412,Plant Journal,84,5,0,0,0,0,1,1,2,0,2
2015,Acylated monogalactosyl diacylglycerol: Prevalence in the plant kingdom and identification of an enzyme catalyzing galactolipid head group acylation in Arabidopsis thaliana,"Nilsson A.K., Johansson O.N., Fahlberg P., Kommuri M., Topel M., Bodin L.J., Sikora P., Modarres M., Ekengren S., Nguyen C.T., Farmer E.E., Olsson O., Ellerstrom M., Andersson M.X.",9607412,Plant Journal,84,6,0,0,0,0,2,0,2,0,2
2015,Highly efficient heritable plant genome engineering using Cas9 orthologues from Streptococcus thermophilus and Staphylococcus aureus,"Steinert J., Schiml S., Fauser F., Puchta H.",9607412,Plant Journal,84,6,0,0,0,0,15,9,24,0,24
2015,Ethylene production in Botrytis cinerea- and oligogalacturonide-induced immunity requires calcium-dependent protein kinases,"Gravino M., Savatin D.V., MacOne A., De Lorenzo G.",9607412,Plant Journal,84,6,0,0,0,0,4,5,9,0,9
2015,Time-dependent stabilization of the +1 nucleosome is an early step in the transition to stable cold-induced repression of FLC,Jean Finnegan E.,9607412,Plant Journal,84,5,0,0,0,0,1,2,3,0,3
2015,"The RNA helicase, eIF4A-1, is required for ovule development and cell size homeostasis in Arabidopsis","Bush M.S., Crowe N., Zheng T., Doonan J.H.",9607412,Plant Journal,84,5,0,0,0,0,2,0,2,0,2
2015,Arabidopsis thaliana isoprenyl diphosphate synthases produce the C<inf>25</inf> intermediate geranylfarnesyl diphosphate,"Nagel R., Bernholz C., Vranova E., Kosuth J., Bergau N., Ludwig S., Wessjohann L., Gershenzon J., Tissier A., Schmidt A.",9607412,Plant Journal,84,5,0,0,0,1,4,0,5,0,5
2015,Jasmonate signalling drives time-of-day differences in susceptibility of Arabidopsis to the fungal pathogen Botrytis cinerea,"Ingle R.A., Stoker C., Stone W., Adams N., Smith R., Grant M., Carre I., Roden L.C., Denby K.J.",9607412,Plant Journal,84,5,0,0,0,0,6,2,8,0,8
2015,The Sec2 translocase of the chloroplast inner envelope contains a unique and dedicated SECE2 component,"Li Y., Singhal R., Taylor I.W., McMinn P.H., Chua X.Y., Cline K., Fernandez D.E.",9607412,Plant Journal,84,4,0,0,0,0,0,1,1,0,1
2015,A knowledge-based molecular screen uncovers a broad-spectrum OsSWEET14 resistance allele to bacterial blight from wild rice,"Hutin M., Sabot F., Ghesquiere A., Koebnik R., Szurek B.",9607412,Plant Journal,84,4,0,0,0,0,10,9,19,0,19
2015,A phosphopantetheinyl transferase that is essential for mitochondrial fatty acid biosynthesis,"Guan X., Chen H., Abramson A., Man H., Wu J., Yu O., Nikolau B.J.",9607412,Plant Journal,84,4,0,0,0,0,3,1,4,0,4
2015,"OsMAPK6, a mitogen-activated protein kinase, influences rice grain size and biomass production","Liu S., Hua L., Dong S., Chen H., Zhu X., Jiang J., Zhang F., Li Y., Fang X., Chen F.",9607412,Plant Journal,84,4,0,0,0,0,4,1,5,0,5
2015,SCARECROW-LIKE23 and SCARECROW jointly specify endodermal cell fate but distinctly control SHORT-ROOT movement,"Long Y., Goedhart J., Schneijderberg M., Terpstra I., Shimotohno A., Bouchet B.P., Akhmanova A., Gadella T.W.J., Heidstra R., Scheres B., Blilou I.",9607412,Plant Journal,84,4,0,0,0,0,3,2,5,0,5
2015,Natural variation in the C-repeat binding factor cold response pathway correlates with local adaptation of Arabidopsis ecotypes,"Gehan M.A., Park S., Gilmour S.J., An C., Lee C.-M., Thomashow M.F.",9607412,Plant Journal,84,4,0,0,0,0,6,6,12,0,12
2015,Ultra-fast alterations in mRNA levels uncover multiple players in light stress acclimation in plants,"Suzuki N., Devireddy A.R., Inupakutika M.A., Baxter A., Miller G., Song L., Shulaev E., Azad R.K., Shulaev V., Mittler R.",9607412,Plant Journal,84,4,0,0,0,0,6,2,8,0,8
2015,Dissecting the contributions of GC content and codon usage to gene expression in the model alga Chlamydomonas reinhardtii,"Barahimipour R., Strenkert D., Neupert J., Schroda M., Merchant S.S., Bock R.",9607412,Plant Journal,84,4,0,0,0,0,6,4,10,0,10
2015,Diversity and population structure of northern switchgrass as revealed through exome capture sequencing,"Evans J., Crisovan E., Barry K., Daum C., Jenkins J., Kunde-Ramamoorthy G., Nandety A., Ngan C.Y., Vaillancourt B., Wei C.-L., Schmutz J., Kaeppler S.M., Casler M.D., Buell C.R.",9607412,Plant Journal,84,4,0,0,0,0,4,2,6,0,6
2015,"The plant-specific protein FEHLSTART controls male meiotic entry, initializing meiotic synchronization in Arabidopsis","Li J., Dukowic-Schulze S., Lindquist I.E., Farmer A.D., Kelly B., Li T., Smith A.G., Retzel E.F., Mudge J., Chen C.",9607412,Plant Journal,84,4,0,0,0,0,3,1,4,0,4
2015,Embryo defective 14 encodes a plastid-targeted cGTPase essential for embryogenesis in maize,"Li C., Shen Y., Meeley R., McCarty D.R., Tan B.-C.",9607412,Plant Journal,84,4,0,0,0,0,1,0,1,0,1
2015,Small-molecule auxin inhibitors that target YUCCA are powerful tools for studying auxin function,"Kakei Y., Yamazaki C., Suzuki M., Nakamura A., Sato A., Ishida Y., Kikuchi R., Higashi S., Kokudo Y., Ishii T., Soeno K., Shimada Y.",9607412,Plant Journal,84,4,0,0,0,1,1,3,5,0,5
2015,Erratum: An enhanced transient expression system in plants based on suppression of gene silencing by the p19 protein of tomato bushy stunt virus (Plant Journal (2003) 33 (949-956)),,9607412,Plant Journal,84,4,0,0,0,0,0,0,0,0,0
2015,Leghemoglobin is nitrated in functional legume nodules in a tyrosine residue within the heme cavity by a nitrite/peroxide-dependent mechanism,"Sainz M., Calvo-Begueria L., Perez-Rontome C., Wienkoop S., Abian J., Staudinger C., Bartesaghi S., Radi R., Becana M.",9607412,Plant Journal,81,5,0,0,0,3,4,2,9,0,9
2015,Analysis of the CYC/TB1 class of TCP transcription factors in basal angiosperms and magnoliids,"Horn S., Pabon-Mora N., Theuss V.S., Busch A., Zachgo S.",9607412,Plant Journal,81,4,0,0,0,1,2,4,7,0,7
2015,TCP transcription factors are critical for the coordinated regulation of ISOCHORISMATE SYNTHASE 1 expression in Arabidopsis thaliana,"Wang X., Gao J., Zhu Z., Dong X., Wang X., Ren G., Zhou X., Kuai B.",9607412,Plant Journal,82,1,0,0,0,2,8,5,15,0,15
2015,"Lack of fructose 2,6-bisphosphate compromises photosynthesis and growth in Arabidopsis in fluctuating environments","McCormick A.J., Kruger N.J.",9607412,Plant Journal,81,5,0,0,0,0,4,1,5,0,5
2015,Susceptibility to Verticillium longisporum is linked to monoterpene production by TPS23/27 in Arabidopsis,"Roos J., Bejai S., Mozuraitis R., Dixelius C.",9607412,Plant Journal,81,4,0,0,0,0,1,2,3,0,3
2015,INDUCER of CBF EXPRESSION 1 integrates cold signals into FLOWERING LOCUS C-mediated flowering pathways in Arabidopsis,"Lee J.-H., Jung J.-H., Park C.-M.",9607412,Plant Journal,84,1,0,0,0,0,1,2,3,0,3
2015,Activation of miR165b represses AtHB15 expression and induces pith secondary wall development in Arabidopsis,"Du Q., Avci U., Li S., Gallego-Giraldo L., Pattathil S., Qi L., Hahn M.G., Wang H.",9607412,Plant Journal,83,3,0,0,0,3,8,0,11,0,11
2015,HSP33 in eukaryotes - An evolutionary tale of a chaperone adapted to photosynthetic organisms,"Segal N., Shapira M.",9607412,Plant Journal,82,5,0,0,0,0,0,0,0,0,0
2015,"An unusual xylan in Arabidopsis primary cell walls is synthesised by GUX3, IRX9L, IRX10L and IRX14","Mortimer J.C., Faria-Blanc N., Yu X., Tryfona T., Sorieul M., Ng Y.Z., Zhang Z., Stott K., Anders N., Dupree P.",9607412,Plant Journal,83,3,0,0,0,1,15,1,17,0,17
2015,Absence of SUN1 and SUN2 proteins in Arabidopsis thaliana leads to a delay in meiotic progression and defects in synapsis and recombination,"Varas J., Graumann K., Osman K., Pradillo M., Evans D.E., Santos J.L., Armstrong S.J.",9607412,Plant Journal,81,2,0,0,0,3,3,2,8,0,8
2015,A resource for characterizing genome-wide binding and putative target genes of transcription factors expressed during secondary growth and wood formation in Populus,"Liu L., Ramsay T., Zinkgraf M., Sundell D., Street N.R., Filkov V., Groover A.",9607412,Plant Journal,82,5,0,0,0,2,8,1,11,0,11
2015,The response of Chlamydomonas reinhardtii to nitrogen deprivation: A systems biology analysis,"Park J.-J., Wang H., Gargouri M., Deshpande R.R., Skepper J.N., Holguin F.O., Juergens M.T., Shachar-Hill Y., Hicks L.M., Gang D.R.",9607412,Plant Journal,81,4,0,0,0,3,15,3,21,0,21
2015,PRC1 is taking the lead in PcG repression,"Merini W., Calonje M.",9607412,Plant Journal,83,1,0,0,0,5,1,7,13,0,13
2015,Molecular genetics of blood-fleshed peach reveals activation of anthocyanin biosynthesis by NAC transcription factors,"Zhou H., Lin-Wang K., Wang H., Gu C., Dare A.P., Espley R.V., He H., Allan A.C., Han Y.",9607412,Plant Journal,82,1,0,0,0,7,11,8,26,0,26
2015,Two Chlamydomonas OPR proteins stabilize chloroplast mRNAs encoding small subunits of photosystem II and cytochrome b&lt;inf&gt;6&lt;/inf&gt;f,"Wang F., Johnson X., Cavaiuolo M., Bohne A.-V., Nickelsen J., Vallon O.",9607412,Plant Journal,82,5,0,0,0,2,2,0,4,0,4
2015,The Arabidopsis leucine-rich repeat receptor-like kinase MUSTACHES enforces stomatal bilateral symmetry in Arabidopsis,"Keerthisinghe S., Nadeau J.A., Lucas J.R., Nakagawa T., Sack F.D.",9607412,Plant Journal,81,5,0,0,0,0,1,2,3,0,3
2015,Oviposition by Spodoptera exigua on Nicotiana attenuata primes induced plant defence against larval herbivory,"Bandoly M., Hilker M., Steppuhn A.",9607412,Plant Journal,83,4,0,0,0,0,6,1,7,0,7
2015,Abscisic acid affects transcription of chloroplast genes via protein phosphatase 2C-dependent activation of nuclear genes: Repression by guanosine-3′-5′-bisdiphosphate and activation by sigma factor 5,"Yamburenko M.V., Zubo Y.O., Borner T.",9607412,Plant Journal,82,6,0,0,0,2,3,8,13,0,13
2015,Deletion of a C-terminal intrinsically disordered region of WRINKLED1 affects its stability and enhances oil accumulation in Arabidopsis,"Ma W., Kong Q., Grix M., Mantyla J.J., Yang Y., Benning C., Ohlrogge J.B.",9607412,Plant Journal,83,5,0,0,0,1,4,4,9,0,9
2015,Roles and activities of chromatin remodeling ATPases in plants,"Han S.-K., Wu M.-F., Cui S., Wagner D.",9607412,Plant Journal,83,1,0,0,0,2,6,4,12,0,12
2015,Agrobacterium T-DNA integration into the plant genome can occur without the activity of key non-homologous end-joining proteins,"Park S.-Y., Vaghchhipawala Z., Vasudevan B., Lee L.-Y., Shen Y., Singer K., Waterworth W.M., Zhang Z.J., West C.E., Mysore K.S., Gelvin S.B.",9607412,Plant Journal,81,6,0,0,0,3,3,1,7,0,7
2015,A two-component enzyme complex is required for dolichol biosynthesis in tomato,"Brasher M.I., Surmacz L., Leong B., Pitcher J., Swiezewska E., Pichersky E., Akhtar T.A.",9607412,Plant Journal,82,6,0,0,0,1,3,1,5,0,5
2015,Accumulation of the NON-YELLOW COLORING 1 protein of the chlorophyll cycle requires chlorophyll b in Arabidopsis thaliana,"Jia T., Ito H., Hu X., Tanaka A.",9607412,Plant Journal,81,4,0,0,0,3,2,2,7,0,7
2015,"An evolutionarily conserved gene, FUWA, plays a role in determining panicle architecture, grain shape and grain weight in rice","Chen J., Gao H., Zheng X.-M., Jin M., Weng J.-F., Ma J., Ren Y., Zhou K., Wang Q., Wang J., Wang J.-L., Zhang X., Cheng Z., Wu C., Wang H., Wan J.-M.",9607412,Plant Journal,83,3,0,0,0,0,2,1,3,0,3
2015,Identification of a flavin-containing S-oxygenating monooxygenase involved in alliin biosynthesis in garlic,"Yoshimoto N., Onuma M., Mizuno S., Sugino Y., Nakabayashi R., Imai S., Tsuneyoshi T., Sumi S.-I., Saito K.",9607412,Plant Journal,83,6,0,0,0,0,0,3,3,0,3
2015,Silencing of OPR3 in tomato reveals the role of OPDA in callose deposition during the activation of defense responses against Botrytis cinerea,"Scalschi L., Sanmartin M., Camanes G., Troncho P., Sanchez-Serrano J.J., Garcia-Agustin P., Vicedo B.",9607412,Plant Journal,81,2,0,0,0,7,3,6,16,0,16
2015,Lipoxygenase-derived 9-hydro(pero)xides of linoleoylethanolamide interact with ABA signaling to arrest root development during Arabidopsis seedling establishment,"Keereetaweep J., Blancaflor E.B., Hornung E., Feussner I., Chapman K.D.",9607412,Plant Journal,82,2,0,0,0,0,2,1,3,0,3
2015,The Arabidopsis thylakoid transporter PHT4;1 influences phosphate availability for ATP synthesis and plant growth,"Karlsson P.M., Herdean A., Adolfsson L., Beebo A., Nziengui H., Irigoyen S., Unnep R., Zsiros O., Nagy G., Garab G., Aronsson H., Versaw W.K., Spetea C.",9607412,Plant Journal,84,1,0,0,0,0,6,1,7,0,7
2015,Centromeric chromatin and its dynamics in plants,"Lermontova I., Sandmann M., Mascher M., Schmit A.-C., Chaboute M.-E.",9607412,Plant Journal,83,1,0,0,0,1,4,4,9,0,9
2015,The Arabidopsis root stele transporter NPF2.3 contributes to nitrate translocation to shoots under salt stress,"Taochy C., Gaillard I., Ipotesi E., Oomen R., Leonhardt N., Zimmermann S., Peltier J.-B., Szponarski W., Simonneau T., Sentenac H., Gibrat R., Boyer J.-C.",9607412,Plant Journal,83,3,0,0,0,0,6,2,8,0,8
2015,Differential effects of ambient or diminished CO<inf>2</inf> and O<inf>2</inf> levels on thylakoid membrane structure in light-stressed plants,"Tsabari O., Nevo R., Meir S., Carrillo L.R., Kramer D.M., Reich Z.",9607412,Plant Journal,81,6,0,0,0,0,3,0,3,0,3
2015,The glucosinolate breakdown product indole-3-carbinol acts as an auxin antagonist in roots of Arabidopsis thaliana,"Katz E., Nisani S., Yadav B.S., Woldemariam M.G., Shai B., Obolski U., Ehrlich M., Shani E., Jander G., Chamovitz D.A.",9607412,Plant Journal,82,4,0,0,0,1,4,2,7,0,7
2015,Erratum: An enhanced transient expression system in plants based on suppression of gene silencing by the p19 protein of tomato bushy stunt virus (Plant Journal (2015) 83 (752752)),,9607412,Plant Journal,83,4,0,0,0,0,1,0,1,0,1
2015,Arabidopsis DOK1 encodes a functional dolichol kinase involved in reproduction,"Kanehara K., Cho Y., Lin Y.-C., Chen C.-E., Yu C.-Y., Nakamura Y.",9607412,Plant Journal,81,2,0,0,0,2,1,1,4,0,4
2015,"Identification of putative target genes of bZIP19, a transcription factor essential for Arabidopsis adaptation to Zn deficiency in roots","Inaba S., Kurata R., Kobayashi M., Yamagishi Y., Mori I., Ogata Y., Fukao Y.",9607412,Plant Journal,84,2,0,0,0,0,2,1,3,0,3
2015,Increased glutathione contributes to stress tolerance and global translational changes in Arabidopsis,"Cheng M.-C., Ko K., Chang W.-L., Kuo W.-C., Chen G.-H., Lin T.-P.",9607412,Plant Journal,83,5,0,0,0,0,4,3,7,0,7
2015,Robust biological nitrogen fixation in a model grass-bacterial association,"Pankievicz V.C.S., Do Amaral F.P., Santos K.F.D.N., Agtuca B., Xu Y., Schueller M.J., Arisi A.C.M., Steffens M.B.R., De Souza E.M., Pedrosa F.O., Stacey G., Ferrieri R.A.",9607412,Plant Journal,81,6,0,0,0,1,16,5,22,0,22
2015,A tonoplast Glu/Asp/GABA exchanger that affects tomato fruit amino acid composition,"Snowden C.J., Thomas B., Baxter C.J., Smith J.A.C., Sweetlove L.J.",9607412,Plant Journal,81,5,0,0,0,5,1,5,11,0,11
2015,"PtaRHE1, a Populus tremula × Populus alba RING-H2 protein of the ATL family, has a regulatory role in secondary phloem fibre development","Baldacci-Cresp F., Moussawi J., Leple J.-C., Van Acker R., Kohler A., Candiracci J., Twyffels L., Spokevicius A.V., Bossinger G., Laurans F., Brunel N., Vermeersch M., Boerjan W., El Jaziri M., Baucher M.",9607412,Plant Journal,82,6,0,0,0,0,4,0,4,0,4
2015,Metabolic and photosynthetic consequences of blocking starch biosynthesis in the green alga Chlamydomonas reinhardtii sta6 mutant,"Krishnan A., Kumaraswamy G.K., Vinyard D.J., Gu H., Ananyev G., Posewitz M.C., Dismukes G.C.",9607412,Plant Journal,81,6,0,0,0,1,5,1,7,0,7
2015,Rice SNF2 family helicase ENL1 is essential for syncytial endosperm development,"Hara T., Katoh H., Ogawa D., Kagaya Y., Sato Y., Kitano H., Nagato Y., Ishikawa R., Ono A., Kinoshita T., Takeda S., Hattori T.",9607412,Plant Journal,81,1,0,0,0,0,3,2,5,0,5
2015,The Arabidopsis ceramidase AtACER functions in disease resistance and salt tolerance,"Wu J.-X., Li J., Liu Z., Yin J., Chang Z.-Y., Rong C., Wu J.-L., Bi F.-C., Yao N.",9607412,Plant Journal,81,5,0,0,0,4,5,3,12,0,12
2015,"CCR1, an enzyme required for lignin biosynthesis in Arabidopsis, mediates cell proliferation exit for leaf development","Xue J., Luo D., Xu D., Zeng M., Cui X., Li L., Huang H.",9607412,Plant Journal,83,3,0,0,0,0,4,2,6,0,6
2015,Secondary siRNAs from Medicago NB-LRRs modulated via miRNA-target interactions and their abundances,"Fei Q., Li P., Teng C., Meyers B.C.",9607412,Plant Journal,83,3,0,0,0,0,6,1,7,0,7
2015,Characterization of an activation-tagged mutant uncovers a role of GLABRA2 in anthocyanin biosynthesis in Arabidopsis,"Wang X., Wang X., Hu Q., Dai X., Tian H., Zheng K., Wang X., Mao T., Chen J.-G., Wang S.",9607412,Plant Journal,83,2,0,0,0,4,6,2,12,0,12
2015,Plastid proteome prediction for diatoms and other algae with secondary plastids of the red lineage,"Gruber A., Rocap G., Kroth P.G., Armbrust E.V., Mock T.",9607412,Plant Journal,81,3,0,0,0,5,6,6,17,0,17
2015,Arabidopsis acyl-CoA-binding protein ACBP3 participates in plant response to hypoxia by modulating very-long-chain fatty acid metabolism,"Xie L.-J., Yu L.-J., Chen Q.-F., Wang F.-Z., Huang L., Xia F.-N., Zhu T.-R., Wu J.-X., Yin J., Liao B., Yao N., Shu W., Xiao S.",9607412,Plant Journal,81,1,0,0,0,4,9,1,14,0,14
2015,Molecular mechanisms of the coordination between astaxanthin and fatty acid biosynthesis in Haematococcus pluvialis (Chlorophyceae),"Chen G., Wang B., Han D., Sommerfeld M., Lu Y., Chen F., Hu Q.",9607412,Plant Journal,81,1,0,0,0,1,9,4,14,0,14
2015,Transcriptome atlas of the Arabidopsis funiculus - A study of maternal seed subregions,"Khan D., Millar J.L., Girard I.J., Chan A., Kirkbride R.C., Pelletier J.M., Kost S., Becker M.G., Yeung E.C., Stasolla C., Goldberg R.B., Harada J.J., Belmonte M.F.",9607412,Plant Journal,82,1,0,0,0,0,3,0,3,0,3
2015,"Glucosylceramides are critical for cell-type differentiation and organogenesis, but not for cell viability in Arabidopsis","Msanne J., Chen M., Luttgeharm K.D., Bradley A.M., Mays E.S., Paper J.M., Boyle D.L., Cahoon R.E., Schrick K., Cahoon E.B.",9607412,Plant Journal,84,1,0,0,0,0,6,0,6,0,6
2015,Infrared microspectroscopic imaging of plant tissues: Spectral visualization of Triticum aestivum kernel and Arabidopsis leaf microstructure,"Warren F.J., Perston B.B., Galindez-Najera S.P., Edwards C.H., Powell P.O., Mandalari G., Campbell G.M., Butterworth P.J., Ellis P.R.",9607412,Plant Journal,84,3,0,0,0,0,2,1,3,0,3
2015,Improvement of pea biomass and seed productivity by simultaneous increase of phloem and embryo loading with amino acids,"Zhang L., Garneau M.G., Majumdar R., Grant J., Tegeder M.",9607412,Plant Journal,81,1,0,0,0,1,8,2,11,0,11
2015,"THB1, a truncated hemoglobin, modulates nitric oxide levels and nitrate reductase activity","Sanz-Luque E., Ocana-Calahorro F., De Montaigu A., Chamizo-Ampudia A., Llamas A., Galvan A., Fernandez E.",9607412,Plant Journal,81,3,0,0,0,4,5,4,13,0,13
2015,Regulation of a maize HD-ZIP IV transcription factor by a non-conventional RDR2-dependent small RNA,"Klein-Cosson C., Chambrier P., Rogowsky P.M., Vernoud V.",9607412,Plant Journal,81,5,0,0,0,0,2,1,3,0,3
2015,CARMO: A comprehensive annotation platform for functional exploration of rice multi-omics data,"Wang J., Qi M., Liu J., Zhang Y.",9607412,Plant Journal,83,2,0,0,0,0,4,2,6,0,6
2015,Phosphatidylinositol phosphate 5-kinase genes respond to phosphate deficiency for root hair elongation in Arabidopsis thaliana,"Wada Y., Kusano H., Tsuge T., Aoyama T.",9607412,Plant Journal,81,3,0,0,0,1,5,0,6,0,6
2015,Chromatin state analysis of the barley epigenome reveals a higher-order structure defined by H3K27me1 and H3K27me3 abundance,"Baker K., Dhillon T., Colas I., Cook N., Milne I., Milne L., Bayer M., Flavell A.J.",9607412,Plant Journal,84,1,0,0,0,1,2,0,3,0,3
2015,"Activation of CYCD7;1 in the central cell and early endosperm overcomes cell-cycle arrest in the Arabidopsis female gametophyte, and promotes early endosperm and embryo development","Sornay E., Forzani C., Forero-Vargas M., Dewitte W., Murray J.A.H.",9607412,Plant Journal,84,1,0,0,0,0,2,0,2,0,2
2015,Expression of the β-glucosidase gene Pgβglu-1 underpins natural resistance of white spruce against spruce budworm,"Mageroy M.H., Parent G., Germanos G., Giguere I., Delvas N., Maaroufi H., Bauce E., Bohlmann J., Mackay J.J.",9607412,Plant Journal,81,1,0,0,0,6,6,1,13,0,13
2015,"OsPIN5b modulates rice (Oryza sativa) plant architecture and yield by changing auxin homeostasis, transport and distribution","Lu G., Coneva V., Casaretto J.A., Ying S., Mahmood K., Liu F., Nambara E., Bi Y.-M., Rothstein S.J.",9607412,Plant Journal,83,5,0,0,0,0,4,2,6,0,6
2015,H2A.Z mediates different aspects of chromatin function and modulates flowering responses in Arabidopsis,"Jarillo J.A., Pineiro M.",9607412,Plant Journal,83,1,0,0,0,2,1,3,6,0,6
2015,A precise spacing between the NPA domains of aquaporins is essential for silicon permeability in plants,"Deshmukh R.K., Vivancos J., Ramakrishnan G., Guerin V., Carpentier G., Sonah H., Labbe C., Isenring P., Belzile F.J., Belanger R.R.",9607412,Plant Journal,83,3,0,0,0,0,10,3,13,0,13
2015,"The proteolysis adaptor, NblA, is essential for degradation of the core pigment of the cyanobacterial light-harvesting complex","Sendersky E., Kozer N., Levi M., Moizik M., Garini Y., Shav-Tal Y., Schwarz R.",9607412,Plant Journal,83,5,0,0,0,0,3,1,4,0,4
2015,SnRK1 from Arabidopsis thaliana is an atypical AMPK,"Emanuelle S., Hossain M.I., Moller I.E., Pedersen H.L., Van De Meene A.M.L., Doblin M.S., Koay A., Oakhill J.S., Scott J.W., Willats W.G.T., Kemp B.E., Bacic A., Gooley P.R., Stapleton D.I.",9607412,Plant Journal,82,2,0,0,0,3,17,2,22,0,22
2015,High light-induced hydrogen peroxide production in Chlamydomonas reinhardtii is increased by high CO<inf>2</inf> availability,"Roach T., Na C.S., Krieger-Liszkay A.",9607412,Plant Journal,81,5,0,0,0,3,6,3,12,0,12
2015,O-Methyltransferases involved in biphenyl and dibenzofuran biosynthesis,"Khalil M.N.A., Brandt W., Beuerle T., Reckwell D., Groeneveld J., Hansch R., Gaid M.M., Liu B., Beerhues L.",9607412,Plant Journal,83,2,0,0,0,0,1,0,1,0,1
2015,The role of miR156/SPLs modules in Arabidopsis lateral root development,"Yu N., Niu Q.-W., Ng K.-H., Chua N.-H.",9607412,Plant Journal,83,4,0,0,0,0,11,4,15,0,15
2015,TOND1 confers tolerance to nitrogen deficiency in rice,"Zhang Y., Tan L., Zhu Z., Yuan L., Xie D., Sun C.",9607412,Plant Journal,81,3,0,0,0,1,1,0,2,0,2
2015,Establishing Chlamydomonas reinhardtii as an industrial biotechnology host,"Scaife M.A., Nguyen G.T.D.T., Rico J., Lambert D., Helliwell K.E., Smith A.G.",9607412,Plant Journal,82,3,0,0,0,7,14,3,24,0,24
